date_added,hq,name,sector,symbol
2021-03-22,"Eindhoven, Netherlands",NXP Semiconductors,Information Technology,NXPI
2009-03-27,"Springfield, Missouri",O’Reilly Automotive,Consumer Discretionary,ORLY
1957-03-04,Houston,Occidental Petroleum,Energy,OXY
2019-12-09,"Thomasville, North Carolina",Old Dominion,Industrials,ODFL
1997-12-31,New York City,Omnicom Group,Communication Services,OMC
2022-06-21,"Phoenix, Arizona",ON Semiconductor,Information Technology,ON
2010-03-15,"Tulsa, Oklahoma",Oneok,Energy,OKE
1989-08-31,"Austin, Texas",Oracle Corporation,Information Technology,ORCL
2020-04-03,"Farmington, Connecticut",Otis Worldwide,Industrials,OTIS
1980-12-31,"Bellevue, Washington",Paccar,Industrials,PCAR
2017-07-26,"Lake Forest, Illinois",Packaging Corporation of America,Materials,PKG
2024-09-23,Denver,Palantir Technologies,Information Technology,PLTR
2023-06-20,"Santa Clara, California",Palo Alto Networks,Information Technology,PANW
1994-09-30,Los Angeles,Paramount Skydance Corporation,Communication Services,PSKY
1985-11-30,Cleveland,Parker Hannifin,Industrials,PH
1998-10-01,"Penfield, New York",Paychex,Industrials,PAYX
2020-01-28,Oklahoma City,Paycom,Industrials,PAYC
2015-07-20,"San Jose, California",PayPal,Financials,PYPL
2012-10-01,"Worsley, United Kingdom",Pentair,Industrials,PNR
1957-03-04,"Purchase, New York",PepsiCo,Consumer Staples,PEP
1957-03-04,New York City,Pfizer,Health Care,PFE
2022-10-03,"Oakland, California",PG&E Corporation,Utilities,PCG
2008-03-31,New York City,Philip Morris International,Consumer Staples,PM
2012-05-01,Houston,Phillips 66,Energy,PSX
1999-10-04,"Phoenix, Arizona",Pinnacle West Capital,Utilities,PNW
1988-04-30,Pittsburgh,PNC Financial Services,Financials,PNC
2020-10-07,"Covington, Louisiana",Pool Corporation,Consumer Discretionary,POOL
1957-03-04,Pittsburgh,PPG Industries,Materials,PPG
2001-10-01,"Allentown, Pennsylvania",PPL Corporation,Utilities,PPL
2002-07-22,"Des Moines, Iowa",Principal Financial Group,Financials,PFG
1957-03-04,Cincinnati,Procter & Gamble,Consumer Staples,PG
1997-08-04,"Mayfield Village, Ohio",Progressive Corporation,Financials,PGR
2003-07-17,San Francisco,Prologis,Real Estate,PLD
2002-07-22,"Newark, New Jersey",Prudential Financial,Financials,PRU
1957-03-04,"Newark, New Jersey",Public Service Enterprise Group,Utilities,PEG
2021-04-20,Boston,PTC Inc.,Information Technology,PTC
